Campaign_ID,Influencer_ID,Category,Influencer_Tier,Followers_Count,Platform,Date_Posted,Cost_Fee_INR,Impressions,Likes,Comments,Shares,Link_Clicks,Total_Orders,Total_Revenue_INR
CMP_202507_79,INF_539C9286,Tech,Micro,95247,TikTok,2025-07-09,11842,139218,1762,103,207,719,8,111516
CMP_202510_18,INF_7562B0B1,Beauty,Micro,43847,Instagram,2025-10-02,6050,50621,1337,78,157,1296,40,52070
CMP_202512_26,INF_1EFE07B6,Gaming,Nano,7378,TikTok,2025-12-02,3158,3382,122,7,14,29,0,0
CMP_202510_82,INF_0FD3A79C,Tech,Nano,9038,YouTube,2025-10-11,5963,9752,266,15,31,297,6,55476
CMP_202501_26,INF_D085B48C,Beauty,Micro,68352,YouTube,2025-01-23,103985,51533,1842,108,216,1840,94,103247
CMP_202504_33,INF_DC2E6709,Tech,Nano,8798,YouTube,2025-04-24,10164,14746,621,36,73,603,21,172819
CMP_202509_74,INF_CCC9B30E,Gaming,Micro,97153,YouTube,2025-09-20,113106,196784,8855,520,1041,6402,216,329033
CMP_202505_69,INF_583D340B,Fashion,Mega,2130540,TikTok,2025-05-29,151251,3556287,23152,1361,2723,32737,739,2626270
CMP_202502_49,INF_C8F8E10E,Gaming,Micro,55061,TikTok,2025-02-27,10716,84896,912,53,107,84,0,0
CMP_202506_72,INF_AA5A547C,Fashion,Mega,2919398,YouTube,2025-06-05,2519473,5290269,79764,4692,9384,255050,10294,22635119
CMP_202508_52,INF_39D2E6E3,Lifestyle,Mid,112202,LinkedIn,2025-08-31,106030,54863,950,55,111,792,2,5897
CMP_202501_96,INF_8DD22F0C,Tech,Micro,91507,LinkedIn,2025-01-04,152781,99762,3243,190,381,1856,60,928312
CMP_202508_58,INF_6B38B04E,Lifestyle,Nano,6630,LinkedIn,2025-08-29,11272,4292,55,3,6,86,3,7984
CMP_202503_48,INF_B2CED005,Tech,Mid,357960,TikTok,2025-03-10,15324,669716,17056,1003,2006,4802,52,844911
CMP_202503_83,INF_C1FE2B0C,Finance,Nano,8398,YouTube,2025-03-31,13397,933,21,1,2,36,0,0
CMP_202508_18,INF_ABE79B21,Lifestyle,Micro,37407,Instagram,2025-08-22,10107,23860,1155,67,135,348,8,23667
CMP_202509_46,INF_91C5E699,Fashion,Nano,9362,Instagram,2025-09-07,5504,5896,64,3,7,5,0,0
CMP_202505_92,INF_05BCD2DE,Finance,Micro,59897,Instagram,2025-05-06,14804,135701,6750,397,794,1480,0,0
CMP_202504_83,INF_A5E36892,Finance,Nano,7679,YouTube,2025-04-14,7734,4716,234,13,27,205,3,34735
CMP_202512_91,INF_0AA5517D,Lifestyle,Mid,467783,YouTube,2025-12-12,488787,410927,10803,635,1271,19135,816,1093032
CMP_202505_77,INF_C3AC15B7,Lifestyle,Mid,206014,LinkedIn,2025-05-17,505846,187568,9023,530,1061,2934,101,121120
