Campaign_ID,Influencer_ID,Influencer_Tier,Followers_Count,Platform,Format,Date_Posted,Cost_Fee_INR,Impressions,Likes,Comments,Shares,Saves,Link_Clicks,Total_Orders,Total_Revenue_INR,Promo_Code
CMP_202506_C,INF_447BB96C,Micro,65462,LinkedIn,Text_Post,2025-06-12,86200,43161,1073,49,162,32,657,35,345619,SALE_B96C
CMP_202502_A,INF_F5B62BCA,Macro,752919,YouTube,Short,2025-02-14,806700,224066,6925,90,832,290,7394,259,993263,SALE_2BCA
CMP_202506_A,INF_2AE9962A,Mega,4391312,TikTok,Video,2025-06-15,1120100,1836698,20989,842,2337,521,19548,207,166819,SALE_962A
CMP_202511_C,INF_BD967C7E,Nano,2168,YouTube,Long_Video,2025-11-01,500,410,14,0,1,0,13,0,0,SALE_7C7E
CMP_202501_B,INF_3B23277B,Nano,8955,TikTok,Video,2025-01-21,1000,2704,197,7,18,19,19,0,0,SALE_277B
CMP_202512_C,INF_904C3421,Micro,95755,LinkedIn,Text_Post,2025-12-08,97600,66866,4936,237,768,102,1311,68,685882,SALE_3421
CMP_202509_B,INF_AF8C1AF9,Mid,299629,LinkedIn,Text_Post,2025-09-07,766100,151733,1659,57,175,157,3246,165,1551604,SALE_1AF9
CMP_202504_A,INF_DC282CB9,Micro,71908,YouTube,Long_Video,2025-04-14,47700,61805,2556,72,452,148,2253,74,221948,SALE_2CB9
CMP_202510_C,INF_A335C09D,Nano,4799,Instagram,Static_Post,2025-10-11,600,2459,96,0,17,8,49,0,0,SALE_C09D
CMP_202512_B,INF_646B32DA,Macro,657784,Instagram,Static_Post,2025-12-27,106000,166131,4571,165,473,391,1799,35,44595,SALE_32DA
CMP_202504_C,INF_5CA89EF8,Micro,86827,LinkedIn,Text_Post,2025-04-23,60700,72717,3652,166,434,178,2105,106,605615,SALE_9EF8
CMP_202511_C,INF_AE7A2741,Nano,7956,TikTok,Video,2025-11-24,1100,4176,265,4,44,10,60,0,0,SALE_2741
CMP_202510_A,INF_18172101,Nano,2358,LinkedIn,Article,2025-10-08,4700,819,61,1,3,2,13,0,0,SALE_2101
CMP_202501_A,INF_31CFC71D,Micro,28688,TikTok,Video,2025-01-25,3400,22325,589,25,87,40,357,0,0,SALE_C71D
CMP_202503_A,INF_339529D1,Micro,42319,Instagram,Reel,2025-03-03,9700,34754,1283,43,227,119,358,8,13109,SALE_29D1
CMP_202512_C,INF_50CB35BD,Micro,46435,LinkedIn,Article,2025-12-10,120500,9936,471,18,25,38,197,8,58516,SALE_35BD
CMP_202511_C,INF_7D89463D,Nano,8626,TikTok,Video,2025-11-02,700,3442,140,6,12,8,24,0,0,SALE_463D
CMP_202511_C,INF_EBC54198,Nano,2943,TikTok,Video,2025-11-15,200,707,37,1,2,3,10,0,0,SALE_4198
CMP_202501_B,INF_2C69BC5B,Micro,55859,TikTok,Video,2025-01-01,3300,123238,2507,79,476,190,1757,13,11316,SALE_BC5B
