campaign_id,brand_name,brand_category,region,platform,influencer_id,influencer_handle,influencer_category,influencer_tier,followers_start,posts_count,campaign_objective,impressions,avg_likes_per_post,avg_comments_per_post,avg_saves_shares_per_post,click_through_rate,landing_page_conv_rate,clicks,orders,new_customers,avg_order_value,revenue,influencer_fee,product_cost,other_campaign_costs,total_spend,cpm,cpc,cpa,roas,roi,campaign_success_label
CMP_00001,Brand_882,Tech,India,Instagram,INF_1466,@creator_47194,Fashion,Macro,395230,3,Conversions,186395,2065,501,749,0.0143,0.0161,2662,42,31,1120.07,47042.76,408676.04,57969.94,50281.93,516927.91,2773.29,194.19,12307.81,0.09,-0.91,0
CMP_00002,Brand_180,D2C,US,Instagram,INF_4556,@creator_13890,Beauty,Nano,9621,5,Traffic,7439,27,12,5,0.0197,0.0188,146,2,1,1877.29,3754.59,28299.9,9903.79,2641.55,40845.24,5490.69,279.76,20422.62,0.09,-0.91,0
CMP_00003,Brand_938,Gaming,EU,Instagram,INF_8989,@creator_19692,Food,Micro,16141,2,Conversions,5842,84,8,0,0.0277,0.0219,162,3,2,1671.81,5015.43,49509.63,16865.91,3398.23,69773.76,11943.47,430.7,23257.92,0.07,-0.93,0
CMP_00004,Brand_646,Beauty,India,Instagram,INF_1391,@creator_23986,Beauty,Nano,6538,3,Conversions,3450,0,0,9,0.0298,0.0228,102,2,1,2351.47,4702.95,8297.31,2645.86,1737.37,12680.54,3675.52,124.32,6340.27,0.37,-0.63,0
CMP_00005,Brand_745,Tech,MENA,Instagram,INF_7910,@creator_10206,Family,Macro,526901,2,Awareness,345646,1546,371,567,0.0348,0.0222,12021,267,178,2330.27,622182.32,199529.55,75603.6,50287.45,325420.6,941.49,27.07,1218.8,1.91,0.91,0
CMP_00006,Brand_791,Food,India,Instagram,INF_6592,@creator_54262,Fashion,Macro,346212,1,Awareness,130415,2118,535,784,0.0494,0.0136,6447,87,58,1957.44,170297.47,164940.85,27319.03,31260.5,223520.38,1713.92,34.67,2569.2,0.76,-0.24,0
CMP_00007,Brand_936,Beauty,India,Instagram,INF_8280,@creator_77172,Fitness,Nano,4969,1,App Installs,1345,17,19,29,0.003,0.0522,4,0,0,1889.9,0.0,7170.48,1237.97,1798.25,10206.69,7588.62,2551.67,0.0,0.0,-1.0,0
CMP_00008,Brand_514,Fintech,India,YouTube,INF_5282,@creator_61663,Beauty,Macro,628557,5,Conversions,829964,2162,522,786,0.031,0.0364,25700,935,795,500.0,467500.0,625955.48,200659.31,64015.16,890629.95,1073.09,34.65,952.55,0.52,-0.48,0
CMP_00009,Brand_252,Fitness,India,TikTok,INF_3049,@creator_41616,Food,Nano,9597,4,Traffic,9505,71,23,32,0.0171,0.046,162,7,6,1826.52,12785.67,11352.13,2403.07,3235.74,16990.94,1787.58,104.88,2427.28,0.75,-0.25,0
CMP_00010,Brand_662,Gaming,India,Instagram,INF_9352,@creator_48467,Travel,Micro,28081,1,Traffic,5969,239,35,45,0.031,0.0395,185,7,5,3030.55,21213.83,35740.82,9898.82,10533.65,56173.3,9410.84,303.64,8024.76,0.38,-0.62,0
CMP_00011,Brand_260,Fitness,US,TikTok,INF_6600,@creator_50764,Family,Nano,4416,3,Traffic,3283,39,10,21,0.0187,0.0351,61,2,1,1668.2,3336.4,9268.85,1776.92,905.82,11951.6,3640.45,195.93,5975.8,0.28,-0.72,0
CMP_00012,Brand_507,Gaming,India,Instagram,INF_2895,@creator_61885,Fitness,Nano,6985,2,Traffic,6936,73,6,33,0.0256,0.0462,177,8,5,2026.9,16215.21,7146.95,2450.03,1804.81,11401.79,1643.86,64.42,1425.22,1.42,0.42,0
CMP_00013,Brand_202,Fashion,India,TikTok,INF_7655,@creator_80031,Other,Micro,15641,4,Conversions,18986,116,22,75,0.0215,0.0321,408,13,8,906.77,11788.01,105671.82,19175.51,30783.57,155630.9,8197.14,381.45,11971.61,0.08,-0.92,0
CMP_00014,Brand_984,Tech,India,Instagram,INF_8987,@creator_27019,Other,Micro,50062,2,Awareness,42884,479,108,172,0.0366,0.025,1570,39,26,2245.72,87583.18,69463.59,21837.88,14938.1,106239.57,2477.37,67.67,2724.09,0.82,-0.18,0
CMP_00015,Brand_541,Tech,EU,YouTube,INF_9130,@creator_95067,Family,Micro,40899,2,Awareness,15070,175,0,10,0.0175,0.0113,263,2,1,3734.45,7468.91,40139.11,8524.9,8287.32,56951.33,3779.12,216.54,28475.67,0.13,-0.87,0
