campaign_id,brand_name,brand_category,region,platform,influencer_id,influencer_handle,influencer_category,influencer_tier,followers_start,posts_count,campaign_objective,impressions,avg_likes_per_post,avg_comments_per_post,avg_saves_shares_per_post,click_through_rate,landing_page_conv_rate,clicks,orders,new_customers,avg_order_value,revenue,influencer_fee,product_cost,other_campaign_costs,total_spend,cpm,cpc,cpa,roas,roi,campaign_success_label,curve_k,curve_alpha,curve_beta
CMP_00001,Brand_666,Tech,India,Instagram,INF_1466,@creator_47194,Fashion,Macro,395230,3,Conversions,186395,2065,501,749,0.0143,0.0161,19890,321,211,2319.38,745389.3,458047.63,105602.11,94612.6,658262.34,3531.55,33.1,2050.66,1.13,0.13,0,1.558,1.152,0.556
CMP_00002,Brand_555,Beauty,India,TikTok,INF_6393,@creator_20627,Family,Micro,14808,1,App Installs,2727,103,7,58,0.0199,0.0141,2546,36,31,3205.41,117646.11,68464.3,13288.59,13080.39,94833.27,34775.68,37.25,2634.26,1.24,0.24,0,2.247,1.232,0.683
CMP_00003,Brand_904,Food,India,Instagram,INF_1878,@creator_19268,Fashion,Nano,2447,2,App Installs,1241,40,0,0,0.0264,0.0164,7622,125,100,1115.17,139494.42,48615.94,19229.54,9953.94,77799.42,62690.91,10.21,622.4,1.79,0.79,0,4.66,1.348,0.615
CMP_00004,Brand_673,Gaming,India,YouTube,INF_4840,@creator_92948,Family,Micro,24150,2,Awareness,14671,82,18,22,0.0463,0.0146,8547,125,98,1680.46,211568.14,146301.35,51468.84,30519.22,228289.41,15560.59,26.71,1826.32,0.93,-0.07,0,1.812,1.38,0.719
CMP_00005,Brand_367,Fintech,US,YouTube,INF_6450,@creator_28047,Tech,Nano,2609,2,Awareness,1279,0,0,0,0.0213,0.0113,3108,35,23,1426.76,50163.53,36252.19,7554.06,4252.1,48058.35,37574.94,15.46,1373.1,1.04,0.04,0,1.673,1.127,0.691
CMP_00006,Brand_563,Fashion,EU,Instagram,INF_5737,@creator_10854,Fitness,Nano,9948,5,Awareness,16704,158,45,0,0.0124,0.0325,1198,39,29,2802.58,109793.81,27350.39,10993.1,5084.5,43427.99,2599.86,36.25,1113.54,2.53,1.53,0,4.934,1.19,0.872
CMP_00007,Brand_108,Food,India,Instagram,INF_9338,@creator_21411,Family,Nano,5142,4,Conversions,9115,0,24,37,0.0221,0.0083,8026,67,57,1750.8,117868.41,39870.7,8335.3,12184.25,60390.25,6625.37,7.52,901.35,1.95,0.95,0,3.067,1.141,0.997
CMP_00008,Brand_982,Fitness,EU,Instagram,INF_2648,@creator_42711,Other,Macro,771056,4,Conversions,468097,2579,655,956,0.0305,0.0499,8400,419,263,2448.4,1027890.62,339284.66,67382.87,45155.01,451822.54,965.23,53.79,1078.34,2.27,1.27,0,3.986,1.277,0.894
CMP_00009,Brand_260,Fintech,India,YouTube,INF_6895,@creator_29738,Tech,Mega,1882623,3,Conversions,1820766,15253,3818,5701,0.0093,0.0372,10178,379,271,1888.52,716864.37,2278188.14,815221.42,304005.34,3397414.91,1865.93,333.8,8964.16,0.21,-0.79,0,1.062,1.375,0.6
CMP_00010,Brand_982,Gaming,India,Instagram,INF_2895,@creator_61885,Fitness,Nano,6985,2,Traffic,5717,83,31,51,0.0062,0.0159,4707,75,62,1994.1,150243.28,52245.55,18745.75,12820.08,83811.38,14660.03,17.81,1117.49,1.79,0.79,0,3.045,1.226,0.859
