campaign_id,brand_name,brand_category,region,platform,influencer_id,influencer_handle,influencer_category,influencer_tier,followers_start,posts_count,campaign_objective,impressions,avg_likes_per_post,avg_comments_per_post,avg_saves_shares_per_post,click_through_rate,landing_page_conv_rate,clicks,orders,new_customers,avg_order_value,revenue,influencer_fee,product_cost,other_campaign_costs,total_spend,cpm,cpc,cpa,roas,roi,campaign_success_label,curve_k,curve_alpha,curve_beta
CMP_00001,Brand_918,Tech,India,Instagram,INF_1466,@creator_47194,Fashion,Macro,395230,3,Conversions,186395,2065,501,749,0.0143,0.0161,22616,365,224,4547.59,1663597.2,458047.63,105602.11,94612.6,658262.34,3531.55,29.11,1803.46,2.53,1.53,0,1.279,1.152,0.521
CMP_00002,Brand_437,Beauty,India,YouTube,INF_8513,@creator_78148,Fashion,Macro,923915,2,Conversions,561838,3901,965,1479,0.0078,0.0331,15965,529,379,2259.12,1196414.94,434858.24,200656.26,113512.01,749026.51,1333.17,46.92,1415.93,1.6,0.6,0,2.879,1.363,0.912
CMP_00003,Brand_970,Gaming,India,Instagram,INF_6276,@creator_61214,Beauty,Nano,3488,5,Awareness,7065,79,0,6,0.0233,0.0446,1254,56,46,1680.7,94373.1,24418.94,6464.16,3936.67,34819.76,4928.49,27.77,621.78,2.71,1.71,0,2.459,1.273,0.867
CMP_00004,Brand_844,D2C,US,Instagram,INF_1863,@creator_64268,Family,Nano,1282,4,Conversions,1216,83,0,0,0.015,0.0437,3475,152,128,1329.19,202705.12,43477.77,19000.17,8930.13,71408.07,58723.74,20.55,469.79,2.84,1.84,0,2.615,1.364,0.435
CMP_00005,Brand_222,Fintech,US,Instagram,INF_1663,@creator_44766,Fitness,Micro,16676,3,Awareness,13871,170,40,27,0.0093,0.0151,7874,119,98,1883.65,224643.66,63611.44,17670.24,5086.16,86367.85,6226.5,10.97,725.78,2.6,1.6,0,1.557,1.368,0.394
CMP_00006,Brand_671,Fintech,India,Instagram,INF_7287,@creator_35184,Fitness,Micro,43006,1,Awareness,9258,104,19,6,0.0207,0.0141,61356,863,729,884.57,763538.49,157148.79,66666.08,16386.17,240201.05,25945.24,3.91,278.33,3.18,2.18,1,1.682,1.09,1.007
CMP_00007,Brand_995,Beauty,India,Instagram,INF_8158,@creator_53016,Fitness,Macro,795093,1,Awareness,366124,8866,2218,3343,0.0223,0.0427,6064,259,213,1899.06,492560.3,190081.71,71308.22,15554.56,276944.48,756.42,45.67,1069.28,1.78,0.78,0,1.322,1.242,0.781
CMP_00008,Brand_799,Fitness,EU,YouTube,INF_4446,@creator_27429,Fitness,Micro,12407,5,Traffic,28978,0,1,41,0.0317,0.0244,37003,903,696,527.89,476933.1,135609.38,48160.03,10732.67,194502.09,6712.06,5.26,215.4,2.45,1.45,0,2.989,1.214,0.621
CMP_00009,Brand_953,D2C,India,TikTok,INF_9319,@creator_36641,Fitness,Nano,1855,1,Awareness,443,75,0,0,0.0245,0.0567,829,47,34,2554.68,120366.98,25847.12,5715.5,5355.95,36918.58,83337.64,44.53,785.5,3.26,2.26,1,1.163,1.052,0.559
CMP_00010,Brand_216,Fashion,US,Instagram,INF_5777,@creator_63006,Tech,Nano,3897,3,Awareness,3890,0,12,0,0.0222,0.0307,2216,68,41,2408.21,164719.7,38147.99,12858.78,10297.68,61304.45,15759.5,27.66,901.54,2.69,1.69,0,2.033,1.163,0.755
CMP_00011,Brand_621,D2C,EU,Instagram,INF_8805,@creator_15237,Beauty,Micro,14903,1,Conversions,5426,207,16,37,0.0327,0.0194,3146,61,43,2297.95,140992.81,51830.61,9081.83,4666.42,65578.87,12086.04,20.85,1075.06,2.15,1.15,0,2.711,1.296,0.524
CMP_00012,Brand_875,Food,India,TikTok,INF_5611,@creator_37663,Fashion,Nano,4225,2,Awareness,2999,24,11,38,0.0076,0.062,4710,292,181,1188.65,347240.08,51799.17,22352.68,14211.65,88363.49,29464.32,18.76,302.61,3.93,2.93,1,1.392,1.074,0.228
