campaign_id,platform,brand_category,influencer_id,influencer_handle,influencer_tier,total_spend,revenue,roas,curve_k,curve_alpha,curve_beta
CMP_00001,Instagram,Tech,INF_6191,@creator_86820,Nano,29361.12,94916.06,3.23,1.312,1.07,0.889
CMP_00002,Instagram,Food,INF_7396,@creator_35658,Micro,167969.41,609685.55,3.63,1.093,1.391,0.383
CMP_00003,TikTok,Beauty,INF_4890,@creator_51606,Nano,30231.45,128845.98,4.26,1.13,1.382,1.217
CMP_00004,YouTube,D2C,INF_1775,@creator_90077,Micro,166033.33,345077.18,2.08,1.364,1.314,0.588
CMP_00005,YouTube,Food,INF_1995,@creator_42606,Macro,945311.96,1397596.89,1.48,1.177,1.119,0.342
CMP_00006,YouTube,Fashion,INF_7331,@creator_18571,Mega,1551998.36,1886639.68,1.22,1.593,1.108,0.333
CMP_00007,Instagram,Fitness,INF_6892,@creator_13561,Micro,158862.46,451734.95,2.84,1.232,1.352,0.662
CMP_00008,Instagram,Fitness,INF_9154,@creator_80592,Micro,164243.91,537281.96,3.27,2.943,1.347,0.701
CMP_00009,Instagram,Fitness,INF_3790,@creator_64268,Nano,50514.24,169306.92,3.35,2.815,1.137,0.603
CMP_00010,TikTok,Tech,INF_3693,@creator_79163,Nano,44990.6,223747.34,4.97,2.767,1.164,0.341
CMP_00011,YouTube,Beauty,INF_6864,@creator_19474,Macro,304866.49,542255.64,1.78,2.021,1.196,0.432
CMP_00012,Instagram,Gaming,INF_4763,@creator_64384,Micro,94276.29,286790.57,3.04,1.508,1.136,0.798
CMP_00013,Instagram,Beauty,INF_6249,@creator_97092,Nano,49367.17,159796.3,3.24,2.971,1.135,0.792
CMP_00014,Instagram,Food,INF_8125,@creator_44698,Mega,2632863.75,6520804.47,2.48,2.597,1.103,0.661
CMP_00015,Instagram,Fashion,INF_9338,@creator_21411,Micro,221938.01,591563.21,2.67,1.349,1.292,0.617
CMP_00016,Instagram,D2C,INF_1262,@creator_56843,Micro,118490.08,403162.74,3.4,2.964,1.231,0.53
CMP_00017,TikTok,D2C,INF_4170,@creator_52642,Nano,63557.34,327048.91,5.15,2.794,1.36,0.942
CMP_00018,Instagram,Fintech,INF_3200,@creator_78497,Macro,412565.64,1206450.78,2.92,2.097,1.292,0.656
CMP_00019,Instagram,Food,INF_2218,@creator_96416,Nano,38483.65,134302.8,3.49,2.085,1.228,0.652
CMP_00020,Instagram,Gaming,INF_1225,@creator_58404,Micro,190580.16,632896.28,3.32,2.154,1.222,0.444
CMP_00021,TikTok,Tech,INF_2060,@creator_28711,Nano,39845.02,164895.64,4.14,2.106,1.25,0.651
CMP_00022,Instagram,Fitness,INF_2816,@creator_42745,Nano,76169.29,269626.76,3.54,2.392,1.25,0.362
CMP_00023,YouTube,Beauty,INF_8343,@creator_64748,Nano,37790.61,87950.41,2.33,1.84,1.14,0.679
CMP_00024,TikTok,D2C,INF_6919,@creator_20966,Nano,60321.57,300993.39,4.99,1.656,1.104,1.255
CMP_00025,Instagram,D2C,INF_3491,@creator_90135,Nano,66199.61,279659.58,4.22,1.432,1.268,0.293
CMP_00026,YouTube,Food,INF_5465,@creator_27019,Nano,62875.71,131942.17,2.1,1.082,1.19,0.723
CMP_00027,Instagram,D2C,INF_2664,@creator_76617,Micro,281347.02,956744.17,3.4,1.885,1.134,0.313
CMP_00028,Instagram,Gaming,INF_8004,@creator_69638,Micro,90497.55,311745.88,3.44,2.132,1.106,0.347
CMP_00029,Instagram,Fintech,INF_6881,@creator_33049,Micro,288812.06,977927.36,3.39,2.773,1.141,0.336
CMP_00030,YouTube,Gaming,INF_6878,@creator_40977,Nano,21590.68,64731.81,3.0,2.172,1.379,0.742
CMP_00031,Instagram,Tech,INF_6536,@creator_79449,Micro,125470.56,445441.22,3.55,1.548,1.125,0.458
CMP_00032,YouTube,Tech,INF_1417,@creator_67458,Macro,497298.34,960837.55,1.93,1.236,1.294,0.926
CMP_00033,Instagram,Fashion,INF_3967,@creator_57295,Micro,206703.41,761110.61,3.68,2.463,1.095,0.463
CMP_00034,Instagram,D2C,INF_3914,@creator_31352,Macro,564410.22,1457539.3,2.58,2.069,1.224,0.509
CMP_00035,YouTube,Food,INF_6486,@creator_18335,Micro,178658.01,416255.81,2.33,1.586,1.165,0.926
CMP_00036,Instagram,Fashion,INF_7541,@creator_19348,Mega,2474071.11,5223868.63,2.11,2.092,1.297,0.984
CMP_00037,YouTube,Fintech,INF_7313,@creator_72856,Micro,260809.21,449408.63,1.72,2.412,1.078,0.465
CMP_00038,YouTube,D2C,INF_2324,@creator_45909,Macro,795726.84,888531.41,1.12,1.963,1.182,0.793
CMP_00039,Instagram,Fashion,INF_7619,@creator_67799,Micro,105855.77,286752.34,2.71,2.298,1.311,0.771
CMP_00040,TikTok,Fintech,INF_3105,@creator_46395,Micro,295138.15,1277347.87,4.33,2.112,1.163,0.443
CMP_00041,YouTube,Beauty,INF_2256,@creator_62528,Micro,233064.71,436194.31,1.87,1.909,1.27,0.894
CMP_00042,Instagram,Food,INF_4719,@creator_94665,Micro,130466.84,322989.1,2.48,1.532,1.176,0.451
CMP_00043,Instagram,Tech,INF_4324,@creator_55445,Macro,964859.94,2409765.81,2.5,2.451,1.265,0.64
CMP_00044,YouTube,Gaming,INF_8449,@creator_14158,Mega,1785978.9,2613807.27,1.46,2.658,1.249,0.315
CMP_00045,Instagram,Tech,INF_2460,@creator_33574,Mega,2537974.83,6181943.41,2.44,2.89,1.347,0.442
CMP_00046,YouTube,Gaming,INF_8239,@creator_24489,Nano,49889.91,138326.34,2.77,1.952,1.341,0.632
CMP_00047,Instagram,D2C,INF_7996,@creator_87709,Macro,792855.84,2517109.97,3.17,1.426,1.098,0.281
CMP_00048,Instagram,D2C,INF_5261,@creator_66800,Micro,252403.66,764634.4,3.03,1.793,1.268,0.98
CMP_00049,Instagram,Fashion,INF_6569,@creator_79836,Micro,126008.77,471686.95,3.74,2.159,1.17,0.634
CMP_00050,YouTube,Food,INF_9472,@creator_93807,Nano,48437.7,105274.69,2.17,2.335,1.11,0.398
CMP_00051,Instagram,Tech,INF_7376,@creator_26907,Micro,125393.42,451649.15,3.6,1.729,1.226,0.636
CMP_00052,Instagram,Fintech,INF_5143,@creator_62796,Nano,20155.7,73853.2,3.66,2.737,1.08,0.787
CMP_00053,Instagram,Food,INF_1364,@creator_14621,Nano,28864.35,77016.15,2.67,1.266,1.291,0.913
CMP_00054,Instagram,D2C,INF_9905,@creator_11062,Nano,39324.75,150762.6,3.83,1.423,1.165,0.41
CMP_00055,YouTube,Tech,INF_7371,@creator_36069,Micro,209105.05,375538.95,1.8,2.491,1.201,0.395
CMP_00056,Instagram,Gaming,INF_4812,@creator_38024,Micro,132189.89,356377.13,2.7,1.204,1.104,0.4
CMP_00057,Instagram,D2C,INF_9434,@creator_14324,Macro,987665.03,2770917.7,2.81,1.224,1.189,1.037
CMP_00058,Instagram,Fitness,INF_5289,@creator_10846,Macro,674525.71,1930355.53,2.86,1.953,1.344,0.484
CMP_00059,YouTube,Food,INF_7233,@creator_88477,Nano,37317.83,85551.75,2.29,2.162,1.104,0.709
CMP_00060,Instagram,D2C,INF_8041,@creator_15287,Micro,258172.38,693778.04,2.69,1.509,1.289,0.814
CMP_00061,Instagram,Beauty,INF_1235,@creator_52929,Macro,387008.06,1288816.31,3.33,2.462,1.378,0.35
CMP_00062,YouTube,Gaming,INF_7413,@creator_40523,Macro,414559.16,670579.11,1.62,1.329,1.335,0.849
CMP_00063,Instagram,Gaming,INF_7943,@creator_21954,Micro,217302.34,467383.62,2.15,2.08,1.204,0.638
CMP_00064,Instagram,Gaming,INF_2970,@creator_51157,Micro,286763.07,1192039.11,4.16,2.255,1.167,0.413
CMP_00065,TikTok,Food,INF_2120,@creator_54028,Mega,1496978.28,5071681.05,3.39,2.488,1.062,0.846
CMP_00066,YouTube,D2C,INF_7359,@creator_74435,Nano,43837.24,130226.44,2.97,2.595,1.102,0.547
CMP_00067,YouTube,Food,INF_3116,@creator_81315,Micro,119951.5,370226.96,3.09,2.817,1.254,0.63
CMP_00068,YouTube,D2C,INF_4531,@creator_49915,Micro,204329.3,534175.39,2.61,2.393,1.373,0.764
CMP_00069,Instagram,Tech,INF_4368,@creator_13797,Nano,74641.17,286803.26,3.84,1.246,1.133,0.356
CMP_00070,Instagram,Fitness,INF_3708,@creator_21694,Micro,92047.56,190223.8,2.07,1.67,1.331,0.273
CMP_00071,TikTok,Fashion,INF_9666,@creator_67761,Micro,282060.04,1216668.82,4.31,2.174,1.061,0.75
CMP_00072,Instagram,Beauty,INF_5757,@creator_29097,Nano,20785.67,71698.58,3.45,2.327,1.112,0.822
CMP_00073,TikTok,Beauty,INF_2759,@creator_51949,Nano,64997.63,268258.57,4.13,1.42,1.364,0.334
